# amp_ratio	peakF(nN)	maxdepth(nm)	phase(deg)	Ediss(aJ)	Ediss_Tamayo(aJ)	Vts(aJ)	Vts_lozano(aJ)
2.400038154257586390e-02	3.529573542164362721e+01	-2.896210535806076347e-01	2.666082492141020666e+00	6.898907499553953715e-02	5.205527598283687246e-02	2.178551930719318989e+03	-3.675762928410516994e-01
2.452683940007830202e-02	3.287105353439487487e+01	-2.958611440898261669e-01	2.695495039034084606e+00	7.011367643314379838e-02	5.316482083713438417e-02	1.867768523183392745e+03	-3.756301952861835769e-01
2.509979891026568877e-02	3.045953395852303913e+01	-3.026598193348697396e-01	2.727576030569894616e+00	7.138453057433781501e-02	5.437373074237282500e-02	1.581543437154711000e+03	-3.843949151728380809e-01
2.572663973548299995e-02	2.806205101147032366e+01	-3.101030200154246685e-01	2.762747827342043827e+00	7.282186559483708188e-02	5.569774907303706030e-02	1.319723053974173808e+03	-3.939831733200009345e-01
2.641700011246979340e-02	2.568013935100124456e+01	-3.183071622425044933e-01	2.801563599892292089e+00	7.445264909689634780e-02	5.715751382660533980e-02	1.082172526544910170e+03	-4.045421788236593930e-01
2.718252061085084034e-02	2.331496585740611494e+01	-3.274115018563995561e-01	2.844689558932453011e+00	7.630872901220007998e-02	5.877785284366383867e-02	8.687068470172024490e+02	-4.162496845168395243e-01
2.803860315084884605e-02	2.096837030336687135e+01	-3.376006792144762847e-01	2.893008730630282077e+00	7.843271325912193337e-02	6.059169030212487733e-02	6.791471490602051517e+02	-4.293408494605518988e-01
2.900555323490658713e-02	1.864257897357239102e+01	-3.491181152979522251e-01	2.947685065708691265e+00	8.088066298942968302e-02	6.264241850141935575e-02	5.132927469914417316e+02	-4.441256423348388105e-01
3.011084475462624463e-02	1.634033064329485541e+01	-3.622931344160024159e-01	3.010293289886655455e+00	8.372828118540653897e-02	6.498873263391091726e-02	3.709169848489627839e+02	-4.610233675878734894e-01
3.139256079730731730e-02	1.406499077798151909e+01	-3.775843322842103444e-01	3.083015951217039863e+00	8.708027710496814289e-02	6.771195615918865207e-02	2.517559249800656573e+02	-4.806150921268758092e-01
3.290551751642772915e-02	1.182087790037271802e+01	-3.956477718918172126e-01	3.168994399183179933e+00	9.108718498000697994e-02	7.092909109874376283e-02	1.555024732038234561e+02	-5.037369333738422883e-01
3.473280664789935024e-02	9.614082556768758892e+00	-4.174784763942164800e-01	3.272990896603057198e+00	9.597705470195011523e-02	7.481744034882355232e-02	8.179936084492625525e+01	-5.316558362934282744e-01
3.700850437269985471e-02	7.453586862190053175e+00	-4.446829741463576569e-01	3.402689706178837259e+00	1.021175491734036961e-01	7.966291921739711290e-02	3.021729880550162051e+01	-5.664152069620830288e-01
3.996617310278960389e-02	5.353183548490268784e+00	-4.800680803652108142e-01	3.571476575950816024e+00	1.101483717934219897e-01	8.596310439875884390e-02	2.101598058993090212e-01	-6.115725364116108009e-01
4.406790403445422916e-02	3.337878492255204499e+00	-5.291622349254174740e-01	3.805833810700601560e+00	1.213339875097029508e-01	9.470101474963699140e-02	-8.944429925397423986e+00	-6.741604690237076314e-01
3.110575714554429383e-01	1.659695331330089729e+01	-1.254463546388663753e+00	1.909877821842031764e+01	6.341900542980410949e-01	4.836471510810149144e-01	-3.873594642097125451e+00	-4.506631021290940176e+00
4.003874507596614229e-01	1.769986904928336102e+01	-1.301214529901198569e+00	2.440071262455637324e+01	6.836109977910985736e-01	4.909424828225855686e-01	-1.236185786674323239e+01	-5.590430337488051293e+00
4.845485267686642228e-01	1.827883145589788327e+01	-1.327906075146868536e+00	2.965657710995729701e+01	7.135265399738526249e-01	4.785333360089508159e-01	-2.245739789686550125e+01	-6.455949442354179446e+00
5.653626513137323117e-01	1.848572467149238463e+01	-1.340843113111134910e+00	3.500886620082712142e+01	7.103425881348044424e-01	4.542560330674747515e-01	-3.133840154881014328e+01	-7.099769645954645547e+00
6.432954660001939384e-01	1.836206323083938585e+01	-1.341838426299646114e+00	4.054793209097215367e+01	6.836421634016662807e-01	4.206910054935635856e-01	-3.846491600049491666e+01	-7.494542519564142857e+00
7.183155693431871880e-01	1.790492539007028583e+01	-1.331069436854060095e+00	4.636942999568162094e+01	6.670232537936738870e-01	3.797766706844328821e-01	-4.335182936013626431e+01	-7.599197395139451139e+00
6.490628986321300697e-01	4.843805470532853974e+01	-2.346028327780355749e+00	4.329430286895617996e+01	7.020558752936175706e-01	2.293676701951671504e+00	-4.896665022273315770e+01	-7.243074604185646415e+00
7.616101684293817842e-01	4.789467768043108720e+01	-2.340128508019442943e+00	5.155856856701520741e+01	8.084439536502409096e-01	1.587258153694223406e+00	-6.144574114028305445e+01	-7.259777188612827281e+00
8.375709438221025094e-01	4.386124961064069794e+01	-2.231182527804909110e+00	5.888361445721017162e+01	7.304189764289580333e-01	1.496605377752853405e+00	-5.948197749666544354e+01	-6.636291639260122110e+00
9.226628080169451129e-01	3.585308987519599100e+01	-1.996992649130893582e+00	6.858603078253413798e+01	5.621864278592674236e-01	7.380927811751016865e-01	-4.597750681409405615e+01	-5.164865598155894411e+00
9.829268607208391240e-01	2.481755476584347520e+01	-1.649147877715336996e+00	8.280894602553942718e+01	2.915677889516841703e-01	8.718417535690455855e-01	-1.390247458240677503e+01	-1.886470551903653092e+00
9.399631116056520463e-01	-2.650106160037180719e-03	-2.515661498455913914e-01	1.096460562193252883e+02	-2.578742317115619714e-02	1.651992353923993351e-01	4.903470526016780440e+01	4.845286584549698183e+00
9.846029730141663272e-01	-2.302118050810958872e-03	1.258262028436248534e-08	9.968934353828323935e+01	1.016974952787414420e-02	1.073536194365460744e-01	2.740562261277397837e+01	2.540741884226045855e+00
